,0,1
0,Ka,"├── energy (keV) = 68.8062
└── weight = 1.0
"
1,Kb,"├── energy (keV) = 77.9819
└── weight = 0.15
"
2,La,"├── energy (keV) = 9.713
└── weight = 1.0
"
3,Lb1,"├── energy (keV) = 11.4425
└── weight = 0.40151
"
4,Lb2,"├── energy (keV) = 11.5848
└── weight = 0.21949
"
5,Lb3,"├── energy (keV) = 11.6098
└── weight = 0.069
"
6,Lb4,"├── energy (keV) = 11.205
└── weight = 0.0594
"
7,Lg1,"├── energy (keV) = 13.3816
└── weight = 0.08407
"
8,Lg3,"├── energy (keV) = 13.8074
└── weight = 0.0194
"
9,Ll,"├── energy (keV) = 8.4938
└── weight = 0.0562
"
10,Ln,"├── energy (keV) = 10.3087
└── weight = 0.01379
"
11,M2N4,"├── energy (keV) = 2.7958
└── weight = 0.02901
"
12,M3O4,"├── energy (keV) = 2.73469
└── weight = 0.005
"
13,M3O5,"├── energy (keV) = 2.73621
└── weight = 0.01
"
14,Ma,"├── energy (keV) = 2.1229
└── weight = 1.0
"
15,Mb,"├── energy (keV) = 2.2047
└── weight = 0.59443
"
16,Mg,"├── energy (keV) = 2.4091
└── weight = 0.08505
"
17,Mz,"├── energy (keV) = 1.6603
└── weight = 0.01344
"
