,0,1
0,Ka,"├── energy (keV) = 22.1629
└── weight = 1.0
"
1,Kb,"├── energy (keV) = 24.9426
└── weight = 0.15
"
2,La,"├── energy (keV) = 2.9844
└── weight = 1.0
"
3,Lb1,"├── energy (keV) = 3.1509
└── weight = 0.35175
"
4,Lb2,"├── energy (keV) = 3.3478
└── weight = 0.1165
"
5,Lb3,"├── energy (keV) = 3.2344
└── weight = 0.0737
"
6,Lb4,"├── energy (keV) = 3.2034
└── weight = 0.0444
"
7,Lg1,"├── energy (keV) = 3.5204
└── weight = 0.03735
"
8,Lg3,"├── energy (keV) = 3.7499
└── weight = 0.014
"
9,Ll,"├── energy (keV) = 2.6336
└── weight = 0.04129
"
10,Ln,"├── energy (keV) = 2.8062
└── weight = 0.0131
"
